id,place_name,address,p_type,sub_type,contact_number,current_status,website,latitude,longitude,created_at,updated_at,action,bkoi_addr,rev_data
33458,Prince Sultan bin Abdulaziz College for Emergency Medical Services,"9063 Prince Fahad bin Ibrahim Street, Al Malaz District 12642 - 3569, Riyadh Saudi Arabia",Education,College,,Closed ⋅ Opens 8 AM,pscems.ksu.edu.sa,24.6576831,46.730824,23:24.0,23:24.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33459,Jami'at Al Malik Saud,"MP5J+39Q, Prince Fahad Ibn Ibrahim Al Saud St, Al Malaz, Riyadh 12642, Saudi Arabia",Education,University,+966 11 805 9250,Opens soon ⋅ 7:30 AM,pscems.ksu.edu.sa,24.6577125,46.7309697,25:19.0,25:19.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33460,Aljomaih Mosque,"MP5J+54J, Al Malaz, Riyadh 12642, Saudi Arabia",Religious Place,Masjid,,,,24.6579611,46.7302686,25:30.0,25:30.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33461,Othaim Market,"ابن إبراهيم, شارع الأمير فهد, Riyadh Saudi Arabia",Commercial,Market,,Open ⋅ Closes 1:45 AM,othaimmarkets.com,24.659421,46.730035,26:47.0,27:05.0,2,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33462,Othaim Markets,"ابن إبراهيم, شارع الأمير فهد, Riyadh Saudi Arabia",Shop,Super Shop,,Open ⋅ Closes 1:45 AM,othaimmarkets.com,24.659421,46.730035,27:25.0,27:25.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33463,Imarat Al Othaim,"3473 Prince Fahad Ibn Ibrahim Al Saud St, Al Malaz, 9259, Riyadh 12642, Saudi Arabia",Hotel,2 Star,,,,24.6592622,46.7299096,29:01.0,29:01.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33424,GeoTech Co,"Joundab Ibn Kaab, Al Malaz، الملز شارع الستين بالقرب من تقاطع الستين مع جرير, Riyadh 12629, Saudi Arabia",Office,Corporate Office,,Open ⋅ Closes 5:30 PM,geotech-sa.com,24.6689297,46.7283867,50:49.0,50:49.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33464,Funduq Al Ayon,"MP6H+3V4, Al Malaz, Riyadh 12642, Saudi Arabia",Hotel,2 Star,,,,24.6601439,46.7297032,30:35.0,30:35.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33465,64 Primary School,"MP6J+HGM, Prince Thamar Bin Abdulaziz St, Al Malaz, Riyadh 12642, Saudi Arabia",Education,School,+966 11 255 2111,,moe.gov.sa,24.6614581,46.7313015,31:10.0,31:10.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33469,Rasimah Pharmacy,"7794 Arwa Bint Abd Al Mouttaleb, Al Malaz, Riyadh 12841, Saudi Arabia",Shop,Pharmacy,,Open ⋅ Closes 2 AM,,24.6555902,46.7440665,14:20.0,14:20.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33471,Masjid,"2820 Ibn Al Mudhazali, Al Malaz, Riyadh 12841, Saudi Arabia",Religious Place,Masjid,,,,24.6544834,46.741381,16:56.0,16:56.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33466,"Ikhtibar Al Tahseeli wal Qudrat, Kulliyat Al Mujtama' (Jadid)",3707 الجامعة، الملز الرياض 12642 Saudi Arabia,Education,University,,,,24.6626007,46.7322453,35:15.0,35:15.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33470,Jami' Al Amir Mutaib Al Gharbi,"7656 Abdul Rahman Ibn Al Imam, Al Malaz, Riyadh 12841, Saudi Arabia",Religious Place,Masjid,,,,24.6545291,46.7417738,15:03.0,15:03.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33467,King Saud University,"MP7J+4MW, Shaddad Al Fahri, Al Malaz, Riyadh 12642, Saudi Arabia",Education,University,+966 11 805 8801,,rcc.ksu.edu.sa,24.6628502,46.7316918,36:06.0,36:06.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33472,Masjid Al Ghufais,"2656 Ibn Widaa, 2656، 7653, Riyadh 12841, Saudi Arabia",Religious Place,Masjid,,,,24.6545471,46.7397136,17:38.0,17:38.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33474,Manzil Yahya Al Sarkhi,"Dhahran St, Al Malaz, Riyadh 12841, Saudi Arabia",Residential,Hostel,,,,24.6561066,46.7372654,19:55.0,19:55.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33475,Masjid Jarallah Al Eid,"الخفجي Al Khafaji, 7862, Al Malaz, Riyadh 12841, Saudi Arabia",Religious Place,Masjid,,,,24.6563574,46.7369714,20:26.0,20:26.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33476,Musalla Al Nisa,"2577 Prince Abdul Muhsin Bin Abdulaziz Rd, 7960, Al Malaz, Riyadh 12841, Saudi Arabia",Religious Place,Masjid,,,,24.6572516,46.7390427,21:24.0,21:24.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33473,Maktab Al Muhami Nasser bin Rajeh Al Otaibi lil Muhamah wal Istisharat Al Qanuniyyah,"Omar Ibn Al Khattab Rd, Al Malaz, Riyadh 14713, Saudi Arabia",Office,Law Firm,+966 53 375 0530,Open ⋅ Closes 6 PM,,24.6532991,46.7402988,19:09.0,19:09.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33477,"International Indian School, Riyadh (Girl's Section)","3029 Al Safrat, Al Malaz, Riyadh 12641, Saudi Arabia",Education,School,,Open ⋅ Closes 2 PM,iisriyadh.com,24.6551349,46.7259988,22:47.0,22:47.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33478,Masjid Al Alawi,"MP4R+J74, Al Malaz, Riyadh 12841, Saudi Arabia",Religious Place,Masjid,+966 55 587 3694,Open 24 hours,,24.6565098,46.740696,23:55.0,23:55.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33479,King Abdullah Park,"Al Ameen Abdullah Al Ali Al Naeem St, Al Malaz, Riyadh 12836, Saudi Arabia",Recreation,Park,,Closed ⋅ Opens 1 PM,,24.6663657,46.7371594,24:21.0,24:21.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33480,Prince Faisal Bin Fahd Stadium,"من, Al Ameen Abdullah Al Ali Al Naeem St، طريق صلاح الدين الايوبي, Riyadh 12836, Saudi Arabia",Recreation,Stadium,+966 11 478 2222,,mos.gov.sa,24.6626929,46.739759,24:45.0,24:45.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33481,Aldrees,"شارع الظهران،جنوب استاد الامير فيصل بن فهد، الملز،, Riyadh 12841, Saudi Arabia",Fuel,Oil,,Open 24 hours,aldrees.com,24.6581146,46.735875,26:35.0,26:35.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33484,Corner Bukhari Restaurant,"9366 الظهران, Al Malaz, Riyadh 12642, Saudi Arabia",Food,Restaurant,+966 11 479 2214,Closed ⋅ Opens 8 PM,,24.6600864,46.7355455,27:43.0,27:43.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33485,Mat'am Nadi Al Furusiyyah,"6199 شارع الأمين عبدالله العلي النعيم،، الملز،, Riyadh 12836،, Saudi Arabia",Food,Restaurant,,,,24.6636656,46.7348561,28:36.0,28:36.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33491,Madrassat Umm Yazid Bint Al Harith lil Tufulah Al Mubakkirah,"Al Malaz, Riyadh 11101, Saudi Arabia",Education,School,,Open ⋅ Closes 12 PM,,24.6681242,46.7440798,31:17.0,31:17.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33482,Fast Coffee,"MP5P+57Q حي, Dhahran St, Al Malaz, Riyadh 12841, Saudi Arabia",Food,Cafe,,Open 24 hours,,24.6579711,46.7357205,26:51.0,26:51.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33486,Malaz Clinic,"6772 Al Imam Ali Ibn Abi Taleb, 4125, Al Malaz, Riyadh 12836, Saudi Arabia",Healthcare,Clinic,,,,24.6676781,46.7474144,28:59.0,28:59.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33483,Lagate,"MP5P+775, Dhahran St, Al Malaz, Riyadh 12841, Saudi Arabia",Shop,Super Shop,,Open 24 hours,lagate.sa,24.6582348,46.7358828,27:22.0,27:22.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33487,Smart Controls Systems Company,"7047 Al Amir Saud Ibn Abdul Rahman, Jarir, Riyadh 12837, Saudi Arabia",Office,Corporate Office,,,,24.6681327,46.7470741,29:14.0,29:14.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33488,Al Yasmin International School,"Ibn Fares, Street، Riyadh 12836, Saudi Arabia",Education,School,+966 9200 00451,Open ⋅ Closes 1:30 PM,alyasmin.edu.sa,24.6660275,46.7436318,29:38.0,29:38.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33492,Idarat Al Adillah Al Jina'iyyah,"3866 ابن قيم الجوزية، 7066، الملز،, Riyadh 12836, Saudi Arabia",Government,Government Office,,Open ⋅ Closes 2:15 PM,,24.6704134,46.7447564,31:55.0,31:55.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33489,General Directorate of Criminal Evidence,"Ibn Qaim Al Jouziyah, Al Malaz, Riyadh 12836, Saudi Arabia",Government,Government Office,,Open ⋅ Closes 2 PM,,24.6684802,46.74473,30:14.0,30:14.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33490,KAMputer Interactive & 3D Interiors,"Ibn Abi Ar Raja, Al Malaz, Riyadh 12836, Saudi Arabia",Office,Software Company,+966 54 725 1944,Opens soon ⋅ 9 AM,,24.6685007,46.7438683,30:27.0,30:27.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33493,Police Clearance Office,"7055 Ibn Qaim Al Jouziyah, Al Malaz, 3816, Riyadh 12836, Saudi Arabia",Government,Police Office,,Open ⋅ Closes 2 PM,,24.6702371,46.7443411,32:10.0,32:18.0,2,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33494,Police Clearance Office,"7055 Ibn Qaim Al Jouziyah, Al Malaz, 3816, Riyadh 12836, Saudi Arabia",Government,Government Office,,Open ⋅ Closes 2 PM,,24.6702371,46.7443411,32:35.0,32:35.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33500,SNB AlAhli,"MP4R+W7, Prince Abdul Muhsin Bin Abdulaziz Rd, Al Malaz, Riyadh 12841, Saudi Arabia",Bank,Bank Branch,,Closed ⋅ Opens 9:30 AM,alahli.com,24.6572907,46.7406688,34:31.0,34:31.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33495,Riyad Bank ATM,"مبنى الغامدي, 3827 Jarir Street MPFV+5Q Al Malaz, Riyadh Saudi Arabia Al Ghamdi Building, Riyadh 12836, Saudi Arabia",Bank,ATM,,Open 24 hours,riyadbank.com,24.6729,46.7444,33:04.0,33:04.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33501,Riyad Bank ATM,"7205 المهندس عمر قاضي, Al Malaz, Riyadh 12831, Saudi Arabia",Bank,ATM,,Open 24 hours,riyadbank.com,24.672455,46.7322668,35:07.0,35:07.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33496,Bank Albilad,"MPCH+CC, Salah Ad Din Al Ayyubi Rd, Al Malaz، 7143 Salah Ad Din Al Ayyubi Road, Riyadh 12831, Saudi Arabia",Bank,Bank Branch,,Closed ⋅ Opens 9:30 AM,,24.6710625,46.7285625,33:14.0,33:14.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33502,SNB AlAhli,"MP39+C8, Bilal Ibn Salim, Al Malaz, Riyadh 12641, Saudi Arabia",Bank,Bank Branch,,Closed ⋅ Opens 9:30 AM,alahli.com,24.6535625,46.7183125,35:34.0,35:34.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33503,Kayan Care Pharmacy‎,"Zeid Ibn Al Khattab, Al Malaz, Riyadh 12841, Saudi Arabia",Shop,Pharmacy,,Open 24 hours,,24.6562998,46.7441442,36:14.0,36:14.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33497,SNB AlAhli,"MPGH+43, Salah Ad Din Al Ayyubi Rd, Al Malaz, Riyadh 12831, Saudi Arabia",Bank,Bank Branch,,Closed ⋅ Opens 9:30 AM,alahli.com,24.675312,46.7277162,33:33.0,33:33.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33504,Rasimah Pharmacy,"7794 Arwa Bint Abd Al Mouttaleb, Al Malaz, Riyadh 12841, Saudi Arabia",Shop,Pharmacy,,Open ⋅ Closes 2 AM,,24.6555902,46.7440665,36:23.0,36:23.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33505,Sceco office,"MP2G+XGH, Al Malaz, Riyadh 12644, Saudi Arabia",Government,Government Office,,,,24.6524256,46.7263593,37:15.0,37:15.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33498,The Saudi Investment Bank,"4076 Umar Ibn Abdul Aziz Br Rd, Ar Rabwah, Riyadh 12815, Saudi Arabia",Bank,Bank Branch,,Closed ⋅ Opens 9:30 AM,saib.com.sa,24.684401,46.743464,33:55.0,33:55.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33506,ANM Plant Office,"MP6V+873, Al Malaz, Riyadh 12841, Saudi Arabia",Office,Construction Company,+966 55 768 1341,Open 24 hours,,24.6607587,46.7431741,38:20.0,38:20.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33499,Riyad Bank,"6916 614,P358+28 Ras Tanura, riyadh 12815, Saudi Arabia",Bank,Bank Branch,,Closed ⋅ Opens 9:30 AM,riyadbank.com,24.6855386,46.7333461,34:03.0,34:03.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
